standard_whisky_name,channel,price,bundle_note,source_url,dailyshot_avg_price,onnuri_mentioned,overseas_url,checked_at,store_branch
White Horse,community,11100,,https://cafe.naver.com/whiskycognac/929485,13550,False,,2026-09-05 19:53:44,
Writers' Tears 10 Year Old Cask Strength Batch 4,community,100000,,https://cafe.naver.com/whiskycognac/928198,,False,,2026-09-05 20:04:05,
Yamazaki 12 Year Old,,,,,405000,False,https://cafe.naver.com/wisewhisky/219574,2026-09-05 20:14:58,
Johnnie Walker Green Label,이마트,69800,그린라벨 잔세트,https://cafe.naver.com/whiskycognac/928996,81150.0,False,,2026-09-06 04:05:59,
Glendronach 15,트레이더스,139000,잔세트,https://cafe.naver.com/whiskycognac/929016,209300.0,False,,2026-09-06 04:05:59,천안
Talisker 10 Year Old,트레이더스,67800,,https://cafe.naver.com/whiskycognac/929016,85040.0,False,,2026-09-06 04:05:59,천안
Glenfiddich 15 Year Old,코스트코,98900,글렌캐런 노징 글라스 2개 증정,https://blog.naver.com/dudrms84/224400510540,120679,False,,2026-09-06 00:00:00,양재
Royal Brackla 12 Year Old,코스트코,82900,,https://blog.naver.com/dizzo_kim/224399262896,105667,False,,2026-09-06 00:00:00,고척
Chivas Regal 12 Year Old,이마트,39800,,https://blog.naver.com/whiskywikiw/224398877912,56600,False,,2026-09-06 00:00:00,자양
Johnnie Walker Double Black,이마트,52800,,https://blog.naver.com/whiskywikiw/224398877912,61754,False,,2026-09-06 00:00:00,자양
Johnnie Walker Black Label,이마트,47800,,https://blog.naver.com/whiskywikiw/224398877912,57710,False,,2026-09-06 00:00:00,자양
Glenfiddich 15 Year Old,이마트,104800,,https://blog.naver.com/whiskywikiw/224398877912,120679,False,,2026-09-06 00:00:00,자양
Ballantine's Single Malt Glenburgie 12 Year Old,이마트,64800,,https://blog.naver.com/whiskywikiw/224398877912,91064,False,,2026-09-06 00:00:00,자양
Talisker 10 Year Old,이마트,61800,,https://blog.naver.com/frankeykim/224401050070,85040,False,,2026-09-06 00:00:00,공덕
The Singleton of Dufftown 15 Year Old,이마트,79800,,https://blog.naver.com/frankeykim/224401050070,90600,False,,2026-09-06 00:00:00,공덕
Johnnie Walker Black Label,코스트코,44490,,https://blog.naver.com/rlaguseod/224398923162,57710,False,,2026-09-06 00:00:00,
Royal Salute 21,코스트코,204900,,https://blog.naver.com/dizzo_kim/224399262896,248710,False,,2026-09-06 00:00:00,고척
Ballantine's 21 Year Old,코스트코,186900,,https://blog.naver.com/dizzo_kim/224399262896,229378,False,,2026-09-06 00:00:00,고척
