standard_whisky_name,image_url,source_url,license
Glenfarclas 25 Year Old,/images/whisky-thumbs/glenfarclas-25-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/443eab66-dbd3-41e3-a889-c5e3fc608115.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Glenmorangie (Unspecified),/images/whisky-thumbs/glenmorangie-unspecified.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/1a57a190-466f-483b-a30f-0ca521c9d2f7.webp,데일리샷 제품 리스팅 이미지 - 글렌모렌지 대표 제품(오리지널 10년) 사진으로 대체 (배경 제거 후 자체 호스팅)
Hibiki (Unspecified),/images/whisky-thumbs/hibiki-unspecified.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/783c624c-2e4c-414f-945e-2db22507feb2.webp,데일리샷 제품 리스팅 이미지 - 히비키 대표 제품(하모니) 사진으로 대체 (배경 제거 후 자체 호스팅)
Kavalan Single Malt Whisky,/images/whisky-thumbs/kavalan-single-malt-whisky.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/81c1c1ec-2689-4312-8d22-792274b2ab62.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Laphroaig 15,/images/whisky-thumbs/laphroaig-15.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/5ff88d33-71a0-4941-bf11-af708387c266.webp,데일리샷 제품 리스팅 이미지 - 200주년 기념 리미티드 에디션 (배경 제거 후 자체 호스팅)
Octomore 14.1,/images/whisky-thumbs/octomore-14-1.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/42b3c945-878d-43d5-95d3-9fd549476c77.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Springbank (Unspecified),/images/whisky-thumbs/springbank-unspecified.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/9352ccfe-541d-4df5-8690-d4db165da1d9.webp,데일리샷 제품 리스팅 이미지 - 스프링뱅크 대표 제품(10년) 사진으로 대체 (배경 제거 후 자체 호스팅)
Wild Turkey 101,/images/whisky-thumbs/wild-turkey-101.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/5bb84c6f-0dd4-4379-b871-2534df8cb14f.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Nikka Frontier,/images/whisky-thumbs/nikka-frontier.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/bc0b2d1d-abd5-4481-aa13-d1527de36222.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Dewar's 12 Year Old,/images/whisky-thumbs/dewars-12-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/4046189b-94ca-48d8-8469-e9a9901fee31.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Hibiki 12 Year Old,/images/whisky-thumbs/hibiki-12-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/be62e191-d3a9-4657-b49d-e844053f2182.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Evan Williams Black,/images/whisky-thumbs/evan-williams-black.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/f5cfc57c-1083-40b1-83d1-f0f0039cce86.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Russell's Reserve Single Barrel,/images/whisky-thumbs/russells-reserve-single-barrel.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/52639fac-d87c-43b8-8cd1-3fa67910554e.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
